,audio,label
0,3537_label_non-stuttered.wav,0
1,2753_label_non-stuttered.wav,0
2,3631_label_non-stuttered.wav,0
3,1580_label_non-stuttered.wav,0
4,1318_label_non-stuttered.wav,0
5,3387_label_non-stuttered.wav,0
6,6800_label_non-stuttered.wav,0
7,5908_label_non-stuttered.wav,0
8,462_label_non-stuttered.wav,0
9,1425_label_non-stuttered.wav,0
10,1043_label_non-stuttered.wav,0
11,5441_label_non-stuttered.wav,0
12,5598_label_non-stuttered.wav,0
13,2245_label_non-stuttered.wav,0
14,4144_label_non-stuttered.wav,0
15,4960_label_non-stuttered.wav,0
16,6277_label_non-stuttered.wav,0
17,5071_label_non-stuttered.wav,0
18,5914_label_non-stuttered.wav,0
19,7688_label_non-stuttered.wav,0
20,2998_label_non-stuttered.wav,0
21,5807_label_non-stuttered.wav,0
22,4356_label_non-stuttered.wav,0
23,6483_label_non-stuttered.wav,0
24,6330_label_non-stuttered.wav,0
25,1531_label_non-stuttered.wav,0
26,1529_label_non-stuttered.wav,0
27,2832_label_non-stuttered.wav,0
28,3149_label_non-stuttered.wav,0
29,2806_label_non-stuttered.wav,0
30,1258_label_non-stuttered.wav,0
31,5923_label_non-stuttered.wav,0
32,7504_label_non-stuttered.wav,0
33,1172_label_non-stuttered.wav,0
34,6118_label_non-stuttered.wav,0
35,716_label_non-stuttered.wav,0
36,4537_label_non-stuttered.wav,0
37,5169_label_non-stuttered.wav,0
38,5990_label_non-stuttered.wav,0
39,1087_label_non-stuttered.wav,0
40,7110_label_non-stuttered.wav,0
41,2329_label_non-stuttered.wav,0
42,6466_label_non-stuttered.wav,0
43,7395_label_non-stuttered.wav,0
44,4942_label_non-stuttered.wav,0
45,3665_label_non-stuttered.wav,0
46,2367_label_non-stuttered.wav,0
47,5282_label_non-stuttered.wav,0
48,1113_label_non-stuttered.wav,0
49,7574_label_non-stuttered.wav,0
50,1363_label_non-stuttered.wav,0
51,6204_label_non-stuttered.wav,0
52,4466_label_non-stuttered.wav,0
53,7676_label_non-stuttered.wav,0
54,3977_label_non-stuttered.wav,0
55,4294_label_non-stuttered.wav,0
56,5236_label_non-stuttered.wav,0
57,6434_label_non-stuttered.wav,0
58,7551_label_non-stuttered.wav,0
59,3873_label_non-stuttered.wav,0
60,3395_label_non-stuttered.wav,0
61,513_label_non-stuttered.wav,0
62,2717_label_non-stuttered.wav,0
63,6596_label_non-stuttered.wav,0
64,1353_label_non-stuttered.wav,0
65,6138_label_non-stuttered.wav,0
66,4753_label_non-stuttered.wav,0
67,2480_label_non-stuttered.wav,0
68,4916_label_non-stuttered.wav,0
69,2014_label_non-stuttered.wav,0
70,6130_label_non-stuttered.wav,0
71,7181_label_non-stuttered.wav,0
72,3189_label_non-stuttered.wav,0
73,4737_label_non-stuttered.wav,0
74,3530_label_non-stuttered.wav,0
75,5811_label_non-stuttered.wav,0
76,433_label_non-stuttered.wav,0
77,4486_label_non-stuttered.wav,0
78,7656_label_non-stuttered.wav,0
79,2810_label_non-stuttered.wav,0
80,3026_label_non-stuttered.wav,0
81,5976_label_non-stuttered.wav,0
82,7566_label_non-stuttered.wav,0
83,2722_label_non-stuttered.wav,0
84,4971_label_non-stuttered.wav,0
85,7256_label_non-stuttered.wav,0
86,669_label_non-stuttered.wav,0
87,2684_label_non-stuttered.wav,0
88,3926_label_non-stuttered.wav,0
89,5130_label_non-stuttered.wav,0
90,2317_label_non-stuttered.wav,0
91,7307_label_non-stuttered.wav,0
92,5670_label_non-stuttered.wav,0
93,2731_label_non-stuttered.wav,0
94,7281_label_non-stuttered.wav,0
95,7079_label_non-stuttered.wav,0
96,1034_label_non-stuttered.wav,0
97,1091_label_non-stuttered.wav,0
98,6919_label_non-stuttered.wav,0
99,3084_label_non-stuttered.wav,0
100,5998_label_non-stuttered.wav,0
